DateKey,RegionKey,ChannelKey,Sessions,AddToCart,Conversions,BounceRate
20210101,1,1,315,47,10,0.4049
20210101,1,2,251,41,9,0.3606
20210101,2,1,284,41,9,0.4148
20210101,2,2,243,38,9,0.3487
20210101,3,1,266,38,8,0.3962
20210101,3,2,212,30,6,0.3829
20210101,4,1,299,37,8,0.413
20210101,4,2,257,35,7,0.3575
20210101,5,1,199,25,5,0.4192
20210101,5,2,215,29,6,0.3656
20210101,6,1,178,20,4,0.4261
20210101,6,2,164,22,5,0.389
20210101,7,1,216,33,7,0.3976
20210101,7,2,217,45,10,0.3188
20210101,8,1,178,24,5,0.4148
20210101,8,2,151,21,5,0.3644
20210102,1,1,379,53,11,0.4033
20210102,1,2,266,49,10,0.3889
20210102,2,1,333,45,10,0.3876
20210102,2,2,270,42,9,0.3782
20210102,3,1,260,32,7,0.3873
20210102,3,2,205,33,7,0.3675
20210102,4,1,305,39,8,0.4213
20210102,4,2,265,36,8,0.3856
20210102,5,1,309,43,9,0.3987
20210102,5,2,252,35,8,0.3587
20210102,6,1,191,24,5,0.4188
20210102,6,2,129,17,4,0.3723
20210102,7,1,233,40,8,0.3712
20210102,7,2,230,47,10,0.3349
20210102,8,1,180,21,5,0.3932
20210102,8,2,156,25,5,0.3762
20210103,1,1,393,55,12,0.4038
20210103,1,2,323,53,11,0.3743
20210103,2,1,361,53,12,0.3872
20210103,2,2,215,35,8,0.3939
20210103,3,1,264,34,8,0.3954
20210103,3,2,223,37,8,0.3654
20210103,4,1,264,34,7,0.4144
20210103,4,2,240,36,8,0.3822
20210103,5,1,310,42,9,0.4341
20210103,5,2,223,31,7,0.3994
20210103,6,1,197,24,5,0.4036
20210103,6,2,137,18,4,0.3728
20210103,7,1,270,44,10,0.3921
20210103,7,2,236,43,9,0.3546
20210103,8,1,165,21,5,0.3967
20210103,8,2,149,23,5,0.3736
20210104,1,1,320,50,12,0.3948
20210104,1,2,247,45,9,0.3578
20210104,2,1,355,50,11,0.3921
20210104,2,2,212,34,7,0.3672
20210104,3,1,205,30,7,0.4214
20210104,3,2,181,30,6,0.3552
20210104,4,1,234,28,6,0.4207
20210104,4,2,269,35,8,0.3705
20210104,5,1,287,36,8,0.4018
20210104,5,2,230,36,8,0.3726
20210104,6,1,158,17,4,0.4231
20210104,6,2,163,20,4,0.373
20210104,7,1,203,32,7,0.3792
20210104,7,2,233,48,10,0.3546
20210104,8,1,158,19,4,0.4325
20210104,8,2,146,24,5,0.3695
20210105,1,1,340,51,11,0.4271
20210105,1,2,293,47,10,0.3705
20210105,2,1,313,39,9,0.3744
20210105,2,2,226,37,8,0.3534
20210105,3,1,228,28,6,0.4154
20210105,3,2,221,35,8,0.3865
20210105,4,1,271,32,7,0.4019
20210105,4,2,187,27,6,0.37
20210105,5,1,237,33,7,0.4032
20210105,5,2,191,26,6,0.3593
20210105,6,1,178,22,4,0.4269
20210105,6,2,170,21,5,0.3684
20210105,7,1,237,38,9,0.4151
20210105,7,2,235,42,9,0.3513
20210105,8,1,165,21,5,0.3749
20210105,8,2,117,19,4,0.3974
20210106,1,1,378,52,11,0.3732
20210106,1,2,295,50,11,0.3865
20210106,2,1,309,40,9,0.3941
20210106,2,2,230,38,8,0.3451
20210106,3,1,268,38,8,0.3991
20210106,3,2,205,31,7,0.3738
20210106,4,1,249,34,7,0.4001
20210106,4,2,223,31,7,0.3768
20210106,5,1,267,35,8,0.4029
20210106,5,2,217,31,7,0.3868
20210106,6,1,178,19,4,0.4045
20210106,6,2,139,18,4,0.4036
20210106,7,1,282,44,10,0.3812
20210106,7,2,221,39,9,0.3596
20210106,8,1,157,18,4,0.4365
20210106,8,2,130,18,4,0.3896
20210107,1,1,298,47,10,0.4029
20210107,1,2,290,51,11,0.3482
20210107,2,1,279,43,9,0.3932
20210107,2,2,201,33,7,0.3481
20210107,3,1,243,31,7,0.407
20210107,3,2,205,31,7,0.3811
20210107,4,1,258,31,7,0.388
20210107,4,2,231,31,7,0.3816
20210107,5,1,256,36,8,0.3952
20210107,5,2,177,26,6,0.3951
20210107,6,1,167,19,4,0.4115
20210107,6,2,154,18,4,0.3987
20210107,7,1,256,46,10,0.3766
20210107,7,2,223,45,10,0.3446
20210107,8,1,141,14,3,0.3951
20210107,8,2,147,21,5,0.358
20210108,1,1,340,50,10,0.3832
20210108,1,2,235,41,9,0.3783
20210108,2,1,293,38,9,0.3938
20210108,2,2,244,40,9,0.3758
20210108,3,1,246,33,7,0.4259
20210108,3,2,199,29,6,0.3812
20210108,4,1,259,30,7,0.423
20210108,4,2,207,29,6,0.3589
20210108,5,1,253,32,7,0.4238
20210108,5,2,232,28,6,0.3957
20210108,6,1,157,18,4,0.4245
20210108,6,2,150,19,4,0.4021
20210108,7,1,219,36,8,0.3871
20210108,7,2,219,40,9,0.3603
20210108,8,1,188,24,5,0.4188
20210108,8,2,145,22,5,0.3837
20210109,1,1,348,50,11,0.3693
20210109,1,2,275,51,11,0.3578
20210109,2,1,342,47,11,0.3766
20210109,2,2,222,34,7,0.3673
20210109,3,1,297,41,9,0.4181
20210109,3,2,203,30,7,0.3463
20210109,4,1,317,41,9,0.3971
20210109,4,2,286,35,8,0.3871
20210109,5,1,260,37,8,0.3951
20210109,5,2,216,29,6,0.3579
20210109,6,1,221,27,6,0.3933
20210109,6,2,201,28,6,0.3626
20210109,7,1,227,36,8,0.3846
20210109,7,2,267,50,10,0.3789
20210109,8,1,156,18,4,0.3964
20210109,8,2,139,18,4,0.4093
20210110,1,1,307,43,10,0.4043
20210110,1,2,269,52,11,0.3427
20210110,2,1,330,44,10,0.4042
20210110,2,2,242,40,9,0.3561
20210110,3,1,293,41,9,0.4223
20210110,3,2,212,33,7,0.375
20210110,4,1,338,41,9,0.4076
20210110,4,2,244,30,7,0.3826
20210110,5,1,292,39,8,0.3906
20210110,5,2,196,26,6,0.3751
20210110,6,1,194,21,5,0.4043
20210110,6,2,166,22,5,0.3883
20210110,7,1,207,33,7,0.3983
20210110,7,2,202,41,9,0.344
20210110,8,1,177,23,5,0.4157
20210110,8,2,144,21,5,0.3688
20210111,1,1,360,53,12,0.3871
20210111,1,2,274,47,10,0.3475
20210111,2,1,259,37,8,0.4014
20210111,2,2,252,40,9,0.3526
20210111,3,1,293,41,9,0.403
20210111,3,2,186,28,6,0.3706
20210111,4,1,278,32,7,0.4026
20210111,4,2,213,28,6,0.3871
20210111,5,1,277,35,8,0.39
20210111,5,2,198,24,5,0.3952
20210111,6,1,174,19,4,0.4197
20210111,6,2,171,21,5,0.376
20210111,7,1,234,40,9,0.3644
20210111,7,2,203,35,8,0.338
20210111,8,1,145,16,4,0.4223
20210111,8,2,115,16,3,0.3739
20210112,1,1,334,52,11,0.3711
20210112,1,2,251,44,10,0.3336
20210112,2,1,322,44,10,0.3996
20210112,2,2,251,41,9,0.3735
20210112,3,1,316,46,10,0.3806
20210112,3,2,258,36,8,0.3639
20210112,4,1,320,38,9,0.4111
20210112,4,2,252,33,8,0.3663
20210112,5,1,244,31,7,0.4149
20210112,5,2,182,23,5,0.4029
20210112,6,1,170,22,5,0.3882
20210112,6,2,141,17,4,0.4178
20210112,7,1,207,36,8,0.3824
20210112,7,2,200,38,8,0.3621
20210112,8,1,166,19,4,0.4018
20210112,8,2,104,14,3,0.3836
20210113,1,1,382,61,14,0.3791
20210113,1,2,272,49,11,0.3503
20210113,2,1,354,49,11,0.4
20210113,2,2,241,37,8,0.3514
20210113,3,1,253,38,8,0.3943
20210113,3,2,183,28,6,0.3624
20210113,4,1,315,36,8,0.4392
20210113,4,2,191,27,6,0.3701
20210113,5,1,251,31,7,0.3723
20210113,5,2,190,26,6,0.3726
20210113,6,1,159,17,4,0.4178
20210113,6,2,163,22,5,0.3733
20210113,7,1,231,37,8,0.3649
20210113,7,2,231,41,9,0.3285
20210113,8,1,184,24,5,0.4117
20210113,8,2,110,16,3,0.3648
20210114,1,1,285,42,9,0.3792
20210114,1,2,246,39,9,0.3673
20210114,2,1,266,39,9,0.369
20210114,2,2,255,37,8,0.3803
20210114,3,1,251,31,7,0.4056
20210114,3,2,227,38,8,0.3424
20210114,4,1,274,33,7,0.4244
20210114,4,2,256,34,7,0.3485
20210114,5,1,299,40,9,0.4161
20210114,5,2,217,30,7,0.3616
20210114,6,1,184,22,5,0.3967
20210114,6,2,156,22,5,0.3884
20210114,7,1,230,41,8,0.3852
20210114,7,2,250,47,10,0.3656
20210114,8,1,153,20,4,0.3913
20210114,8,2,132,22,5,0.3783
20210115,1,1,297,43,10,0.3847
20210115,1,2,276,50,10,0.3546
20210115,2,1,284,42,9,0.37
20210115,2,2,258,40,9,0.3633
20210115,3,1,250,35,8,0.3875
20210115,3,2,183,26,6,0.3523
20210115,4,1,247,27,6,0.3904
20210115,4,2,226,29,7,0.3858
20210115,5,1,254,32,7,0.4294
20210115,5,2,206,27,6,0.3644
20210115,6,1,141,16,3,0.4041
20210115,6,2,162,20,4,0.3632
20210115,7,1,224,38,8,0.3832
20210115,7,2,266,49,11,0.3083
20210115,8,1,194,23,5,0.4282
20210115,8,2,149,21,5,0.3778
20210116,1,1,324,47,10,0.3664
20210116,1,2,290,55,11,0.3602
20210116,2,1,249,34,7,0.4063
20210116,2,2,270,39,9,0.3876
20210116,3,1,324,47,10,0.4122
20210116,3,2,255,42,9,0.377
20210116,4,1,274,32,7,0.4081
20210116,4,2,257,34,8,0.3817
20210116,5,1,247,33,7,0.4025
20210116,5,2,201,31,6,0.364
20210116,6,1,218,24,6,0.3987
20210116,6,2,155,21,4,0.3874
20210116,7,1,264,40,9,0.3726
20210116,7,2,236,45,10,0.3372
20210116,8,1,194,27,6,0.4147
20210116,8,2,146,23,5,0.3595
20210117,1,1,390,67,14,0.3872
20210117,1,2,284,50,11,0.3648
